instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.4581005586592179,0.8723404255319149,0.6007326007326007,94.0,0.9345738295318127,0.9677941096854529,0.7489748946923303
clarinet,irmas,irmas,0.3745173745173745,0.7637795275590551,0.5025906735751295,127.0,0.8847539015606243,0.9089243961463882,0.6411639290426254
flute,irmas,irmas,0.3424124513618677,0.7272727272727273,0.46560846560846564,121.0,0.8787515006002401,0.9043836422477199,0.5816613756543054
guitar,irmas,irmas,0.6914414414414415,0.8872832369942196,0.7772151898734176,346.0,0.8943577430972389,0.9617402347171132,0.8683886808565612
organ,irmas,irmas,0.6461538461538462,0.9655172413793104,0.7741935483870969,174.0,0.9411764705882353,0.9873116390866229,0.8862000816493772
piano,irmas,irmas,0.7365853658536585,0.888235294117647,0.8053333333333332,170.0,0.9561824729891957,0.979333123623781,0.9221556211626294
saxophone,irmas,irmas,0.29085872576177285,0.7,0.4109589041095891,150.0,0.819327731092437,0.8590765171503958,0.48040758173216724
trumpet,irmas,irmas,0.508,0.8466666666666667,0.635,150.0,0.9123649459783914,0.95292436235708,0.7314995261538896
violin,irmas,irmas,0.3669064748201439,0.7132867132867133,0.48456057007125897,143.0,0.8697478991596639,0.8920422978203674,0.5255255568820384
voice,irmas,irmas,0.7711864406779662,0.9528795811518325,0.8524590163934427,191.0,0.9621848739495799,0.9922584080220074,0.9577763581638539
cello,openmic,openmic,0.774468085106383,0.8053097345132744,0.789587852494577,226.0,0.8,0.8906276693887314,0.8553630583851399
clarinet,openmic,openmic,0.34459459459459457,0.7445255474452555,0.47113163972286376,137.0,0.6421875,0.7553365935772227,0.4279910123688216
flute,openmic,openmic,0.4763636363636364,0.7485714285714286,0.5822222222222222,175.0,0.6654804270462633,0.7725655223329642,0.609995264732437
guitar,openmic,openmic,0.9820143884892086,0.9545454545454546,0.9680851063829786,286.0,0.9587155963302753,0.9883216783216783,0.9944142192817547
organ,openmic,openmic,0.5694444444444444,0.6776859504132231,0.6188679245283019,121.0,0.765661252900232,0.8331644894694747,0.6080907733019663
piano,openmic,openmic,0.9482758620689655,0.9649122807017544,0.9565217391304347,285.0,0.9397590361445783,0.975978407557355,0.9880052041676839
saxophone,openmic,openmic,0.7660818713450293,0.8590163934426229,0.8098918083462133,305.0,0.8044515103338633,0.884314916008905,0.862948188569026
trumpet,openmic,openmic,0.7101449275362319,0.7704402515723271,0.7390648567119155,318.0,0.7796178343949045,0.8495144977307315,0.7900438919019606
violin,openmic,openmic,0.8604060913705583,0.8604060913705583,0.8604060913705583,394.0,0.8256735340729001,0.9130630341193857,0.9366977713345246
voice,openmic,openmic,0.9151785714285714,0.9151785714285714,0.9151785714285714,224.0,0.8983957219251337,0.9684226190476191,0.9787737930816589
cello,irmas,openmic,0.6394557823129252,0.415929203539823,0.5040214477211796,226.0,0.6185567010309279,0.6814671814671815,0.6275482002812091
clarinet,irmas,openmic,0.2638888888888889,0.41605839416058393,0.3229461756373938,137.0,0.6265625,0.6531032781413709,0.2932841118872267
flute,irmas,openmic,0.4890829694323144,0.64,0.5544554455445545,175.0,0.6797153024911032,0.734780361757106,0.5241561955367762
guitar,irmas,openmic,0.972972972972973,0.8811188811188811,0.924770642201835,286.0,0.9059633027522935,0.9734731934731935,0.9870604306352582
organ,irmas,openmic,0.4838709677419355,0.371900826446281,0.4205607476635514,121.0,0.7122969837587007,0.6701412956544921,0.4661791127546597
piano,irmas,openmic,0.976,0.856140350877193,0.9121495327102803,285.0,0.8867469879518072,0.9634547908232118,0.9838684866516444
saxophone,irmas,openmic,0.7230215827338129,0.659016393442623,0.6895368782161234,305.0,0.712241653418124,0.775905687107873,0.7171375772361346
trumpet,irmas,openmic,0.611336032388664,0.4748427672955975,0.5345132743362833,318.0,0.664968152866242,0.7183346127429195,0.6110826619512973
violin,irmas,openmic,0.8559322033898306,0.7690355329949239,0.8101604278074866,394.0,0.7749603803486529,0.8540448499646597,0.891939422074782
voice,irmas,openmic,0.9700598802395209,0.7232142857142857,0.8286445012787723,224.0,0.820855614973262,0.9638988095238095,0.9745998297044104
cello,openmic,irmas,0.1570796460176991,0.7553191489361702,0.2600732600732601,94.0,0.7575030012004802,0.8392344756645552,0.32297201348957727
clarinet,openmic,irmas,0.2318840579710145,0.7559055118110236,0.35489833641404805,127.0,0.790516206482593,0.8520053414375836,0.2809645130838818
flute,openmic,irmas,0.17256637168141592,0.6446280991735537,0.27225130890052357,121.0,0.7496998799519808,0.7832624568723421,0.23345417167033589
guitar,openmic,irmas,0.4906015037593985,0.7543352601156069,0.5945330296127562,346.0,0.7863145258103241,0.8768085479068137,0.6818300283706071
organ,openmic,irmas,0.046357615894039736,0.040229885057471264,0.04307692307692308,174.0,0.8133253301320528,0.3761594403870451,0.0802319892150323
piano,openmic,irmas,0.2514506769825919,0.7647058823529411,0.37845705967976706,170.0,0.7436974789915967,0.8505622837370242,0.6263218692224788
saxophone,openmic,irmas,0.22413793103448276,0.52,0.3132530120481928,150.0,0.7947178871548619,0.7568953386103783,0.2397831121030004
trumpet,openmic,irmas,0.3224852071005917,0.7266666666666667,0.4467213114754099,150.0,0.8379351740696278,0.867858399296394,0.5347373604917064
violin,openmic,irmas,0.23636363636363636,0.6363636363636364,0.34469696969696967,143.0,0.7923169267707083,0.8054171698295137,0.35189612831917855
voice,openmic,irmas,0.5386904761904762,0.9476439790575916,0.6869070208728653,191.0,0.9009603841536614,0.9795048362765107,0.9112918454575103
