instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,A,A,0.47619047619047616,0.6666666666666666,0.5555555555555556,30.0,0.9577836411609498,0.8928113553113552,0.6235817347946127,yamnet
clarinet,A,A,0.4745762711864407,0.8,0.5957446808510638,35.0,0.9498680738786279,0.9739972337482711,0.7829016503303586,yamnet
flute,A,A,0.2833333333333333,0.7727272727272727,0.4146341463414634,44.0,0.8733509234828496,0.9173351158645277,0.6759677228144193,yamnet
guitar-ac,A,A,0.8073394495412844,0.8979591836734694,0.8502415458937198,98.0,0.9591029023746702,0.9840367965367965,0.9210260430752565,yamnet
guitar-el,A,A,0.5828877005347594,0.8384615384615385,0.6876971608832808,130.0,0.8693931398416886,0.9361403723664871,0.797284214084616,yamnet
organ,A,A,0.6074766355140186,0.8783783783783784,0.718232044198895,74.0,0.9327176781002638,0.972992729571677,0.8289291029784039,yamnet
piano,A,A,0.4794520547945205,0.8974358974358975,0.625,39.0,0.9445910290237467,0.9800649049605934,0.7773517449664341,yamnet
saxophone,A,A,0.1836734693877551,0.7714285714285715,0.2967032967032967,35.0,0.8311345646437994,0.9046038332345386,0.3393062120956177,yamnet
trumpet,A,A,0.5,0.8292682926829268,0.6238532110091743,41.0,0.945910290237467,0.958737286117631,0.8405821235287536,yamnet
violin,A,A,0.2677165354330709,0.7391304347826086,0.3930635838150289,46.0,0.8614775725593667,0.9060820713238886,0.5725268252378752,yamnet
voice,A,A,0.8613861386138614,0.9354838709677419,0.8969072164948454,186.0,0.9472295514511874,0.9832130235356042,0.950142586399109,yamnet
cello,A,B,0.6136363636363636,0.39705882352941174,0.48214285714285715,68.0,0.9379679144385027,0.8319763891715856,0.4519927492143314,yamnet
clarinet,A,B,0.3541666666666667,0.5543478260869565,0.4322033898305085,92.0,0.8566844919786096,0.8455696528959719,0.38257225840981746,yamnet
flute,A,B,0.26337448559670784,0.9014084507042254,0.40764331210191085,71.0,0.8010695187165775,0.922926447574335,0.5904758992882105,yamnet
guitar-ac,A,B,0.6309523809523809,0.8412698412698413,0.7210884353741497,63.0,0.9561497326203209,0.976863987185088,0.8472292105743612,yamnet
guitar-el,A,B,0.6470588235294118,0.1774193548387097,0.2784810126582279,62.0,0.9390374331550803,0.8614898570003325,0.3574138343242779,yamnet
organ,A,B,0.5460122699386503,0.9175257731958762,0.6846153846153847,97.0,0.9122994652406418,0.9739192480870014,0.8604889095290337,yamnet
piano,A,B,0.6982248520710059,0.8251748251748252,0.7564102564102564,143.0,0.9187165775401069,0.9588366179275271,0.8489574879562722,yamnet
saxophone,A,B,0.29559748427672955,0.7642276422764228,0.4263038548752834,123.0,0.7294117647058823,0.8222195522447835,0.502408269529499,yamnet
trumpet,A,B,0.5869565217391305,0.7714285714285715,0.6666666666666667,105.0,0.9133689839572192,0.9233161216293746,0.7879646270082342,yamnet
violin,A,B,0.397196261682243,0.8415841584158416,0.5396825396825397,101.0,0.8449197860962567,0.9230358287627324,0.7004980072800916,yamnet
voice,A,B,0.8571428571428571,0.6,0.7058823529411764,10.0,0.9946524064171123,0.9974054054054053,0.8397744360902255,yamnet
cello,B,B,0.48031496062992124,0.8970588235294118,0.6256410256410256,68.0,0.9219251336898395,0.9581382726100821,0.7425691635335349,yamnet
clarinet,B,B,0.4319526627218935,0.7934782608695652,0.5593869731800766,92.0,0.8770053475935828,0.9200706586208676,0.6138797208327935,yamnet
flute,B,B,0.5233644859813084,0.7887323943661971,0.6292134831460674,71.0,0.9294117647058824,0.9410700312989047,0.7145565721154665,yamnet
guitar-ac,B,B,0.5833333333333334,0.8888888888888888,0.7044025157232704,63.0,0.9497326203208556,0.9823794961409641,0.9007631005973521,yamnet
